"station_name","species_id","individual_userstr","latitude","longitude","lat_lon_datum","active"
"Kresge Arts Center and Giltner Hall",1356,"dawn redwood-20060244*14",42.728925,-84.47521,"WGS84",1
"Hannah Administration Building",1356,"dawn redwood-20080508*01",42.730832,-84.480566,"WGS84",1
"Hannah Administration Building",1356,"dawn redwood-20080508*03",42.73088,-84.480675,"WGS84",1
"Music Building",1356,"dawn redwood-CC0074*01",42.732652,-84.485019,"WGS84",1
"Beaumont Tower",1356,"dawn redwood-CC0357*01",42.731518,-84.480488,"WGS84",1
"Hannah Administration Building",1356,"dawn redwood-CC1024*01",42.7289993,-84.4813684,"WGS84",1
"NW corner",1356,"dawn redwood-CC1126*01",42.734456,-84.489088,"WGS84",1
"Plant Sciences",1356,"dawn redwood-CC3963*01",42.7229666,-84.4735222,"WGS84",1
"Plant Sciences",1356,"dawn redwood-CC4184*01",42.7230456,-84.4735688,"WGS84",1
"Plant Sciences",1356,"dawn redwood-CC4185*01",42.7229855,-84.4736731,"WGS84",1
"Wharton Center",949,"hophornbeam-20070191*01",42.725087,-84.475631,"WGS84",1
"Wharton Center",949,"hophornbeam-20070191*02",42.725088,-84.475661,"WGS84",1
"Wharton Center",949,"hophornbeam-20070191*03",42.725083,-84.475376,"WGS84",1
"Wharton Center",949,"hophornbeam-20070191*04",42.725082,-84.475348,"WGS84",1
"Dairy Store",949,"hophornbeam-20090257*01",42.724489,-84.482025,"WGS84",1
"Dairy Store",949,"hophornbeam-20090257*02",42.724514,-84.482045,"WGS84",1
"Dairy Store",949,"hophornbeam-20090257*03",42.7245753,-84.4820865,"WGS84",1
"Dairy Store",949,"hophornbeam-20090257*04",42.724486,-84.4820707,"WGS84",1
"Dairy Store",949,"hophornbeam-20090257*06",42.724851,-84.482053,"WGS84",1
"Dairy Store",949,"hophornbeam-20090257*07",42.724325,-84.482036,"WGS84",1
"Jenison Field House",949,"hophornbeam-20090303*01",42.729661,-84.492472,"WGS84",1
"Jenison Field House",949,"hophornbeam-20090303*02",42.729703,-84.492374,"WGS84",1
"Jenison Field House",949,"hophornbeam-20090303*03",42.729692,-84.492988,"WGS84",1
"Jenison Field House",949,"hophornbeam-20090303*04",42.729687,-84.493043,"WGS84",1
"Jenison Field House",949,"hophornbeam-20090303*05",42.731015,-84.491674,"WGS84",1
"Jenison Field House",949,"hophornbeam-20110263*01",42.731097,-84.4917,"WGS84",1
