accession,scientific_name,common_name,latitude,longitude
CC4694*01,Acer saccharum,Sugar maple,42.730796,-84.478194
CC5899*02,Acer saccharum,Sugar maple,42.727655,-84.480729
CC6259*01,Acer saccharum,Sugar maple,42.732052,-84.473529
CC6259*02,Acer saccharum,Sugar maple,42.732077,-84.473428
CC6259*03,Acer saccharum,Sugar maple,42.732081,-84.473323
CC6259*04,Acer saccharum,Sugar maple,42.732007,-84.473339
CC6392*01,Acer saccharum,Sugar maple,42.731855,-84.475094
CC6394*01,Acer saccharum,Sugar maple,42.731501,-84.472709
CC6395*01,Acer saccharum,Sugar maple,42.731457,-84.473104
CC6403*01,Acer saccharum,Sugar maple,42.731545,-84.473872
CC6527*01,Acer saccharum,Sugar maple,42.730257,-84.477517
CC6530*01,Acer saccharum,Sugar maple,42.72978,-84.477566
20000678*02,Cercis canadensis,Eastern redbud,42.733741,-84.480006
20030863*02,Cercis canadensis,Eastern redbud,42.73103,-84.492584
20210339*01,Cercis canadensis,Eastern redbud,42.727915,-84.481662
20230403*01,Cercis canadensis,Eastern redbud,42.724368,-84.471511
20230403*02,Cercis canadensis,Eastern redbud,42.72451,-84.471318
90P133*01,Cercis canadensis,Eastern redbud,42.732422,-84.478258
90P133*02,Cercis canadensis,Eastern redbud,42.73242,-84.478059
98P065*04,Cercis canadensis,Eastern redbud,42.734557,-84.484174
CC0179*01,Cercis canadensis,Eastern redbud,42.732583,-84.483874
CC1407*01,Cercis canadensis,Eastern redbud,42.7302778,-84.4766667
CC1628*01,Cercis canadensis,Eastern redbud,42.727289,-84.475081
CC2203*01,Cercis canadensis,Eastern redbud,42.731271,-84.493121
CC2925*01,Cercis canadensis,Eastern redbud,42.72644,-84.467559
CC3530*01,Cercis canadensis,Eastern redbud,42.731667,-84.493132
CC5401*01,Cercis canadensis,Eastern redbud,42.731944,-84.480556
CC6021*01,Cercis canadensis,Eastern redbud,42.7261,-84.470526
CC8324*01,Cercis canadensis,Eastern redbud,42.722706,-84.473877
NN0942*01,Cercis canadensis,Eastern redbud,42.7319499,-84.4806774
20110608*01,Cornus florida,Eastern flowering dogwood,42.734208,-84.482433
20160323*01,Cornus florida,Eastern flowering dogwood,42.7329679,-84.4838605
CC0192*01,Cornus florida,Eastern flowering dogwood,42.732913,-84.483748
CC0364*01,Cornus florida,Eastern flowering dogwood,42.73115,-84.480917
